"Name"	"Area_m2"	"d_m"
"26435"	23806.4312970105	174.101377784251
"26439"	24136.6466927881	175.304686322297
"26442"	9769.8181166081	111.531694019841
"26448"	28299.2051077687	189.820091212133
"2647"	16797.6706821112	146.244516382333
"2651"	41889.2281454179	230.943763226417
"26520"	172928.299197899	469.232510534552
"2654"	21513.2238001886	165.503737955183
"26565"	1975322.77729171	1585.8937775475
"2661"	457.659245580658	24.1393837843255
"2663"	291027.859243606	608.726686624283
"2669"	126671.959071069	401.601478456391
"267"	48872.8166315504	249.4530071935
"2671"	98718.2708687862	354.53068450843
"268"	69677.8335307229	297.853274352977
"269"	114909.808372127	382.501911233567
"27"	7196.78403233844	95.7247618168459
"272"	15393.5307810931	139.998757578722
"275"	30466.6191507242	196.955081927549
"278"	9158.16765023059	107.98398589415
"279"	27375.5313301538	186.69656945881
"285"	145019.100595357	429.702284867017
"2880"	4127.16263346133	72.4904591824074
"2882"	741555.367096318	971.688025035624
"2888"	53523.089583525	261.0511716391
"2890"	278490.425283255	595.470421012458
"2892"	325932.664131977	644.197451790767
"2903"	22833.950996942	170.508326400359
"2949"	23205603.8715143	5435.65014590448
"2953"	37199.4597907597	217.63231205035
"2954"	11127642.3953753	3764.06088386777
"2956"	7505.13566543747	97.7539539754645
"2959"	574643.237751643	855.370384348232
"2961"	154543.696056602	443.588937202898
"2962"	82440.139456295	323.984637952537
"298"	3917.50370236765	70.6252124280055
"299"	336340.316381171	654.401857657237
"30184"	45893399.6723279	7644.16714267445
"302"	1645154.70607376	1447.29956435434
"303"	369921.292379227	686.293244828164
"3031"	164175.187557003	457.20273518636
"3032"	31260.1599064873	199.503563295707
"3033"	2628286.2412054	1829.32719249074
"3035"	251892.015464043	566.320470309754
"3046"	32149.6613084308	202.322070293224
"3047"	14310.2689871856	134.982963259375
"3048"	530456.761253586	821.826335182929
"3051"	112844.836735268	379.049480345939
"3054"	731207.417231193	964.88455217317
"3056"	21201.8954010882	164.301830933207
"3058"	43630.1695014012	235.693990489113
"306"	213421.976296236	521.284279386879
"307"	371121.240772961	687.405440510412
"308"	278238.614133414	595.20114783741
"31"	791210.744715661	1003.69358291828
"311"	140888.22240153	423.538022081927
"3125"	16779.3801803987	146.164873967137
"3130"	110140.587205618	374.480107763475
"315"	21919.2669951945	167.058305779419
"316"	1489.48330991007	43.5484678421701
"317"	444155.552531013	752.008253609083
"32260"	765.804402950762	31.2258298427634
"324"	1437488.98280711	1352.87391061811
"32426"	24770.0899156732	177.590140512588
"328"	3107.40622396154	62.9004967063377
"329"	14074.7628649156	133.867638592681
"331"	164903.498559651	458.215730231215
"332"	37091.9937349249	217.317724119261
"333"	359648.962252797	676.697333350165
"335"	40161426.0695629	7150.8821724823
"336"	19407713.1335371	4970.9825823971
"337"	41965.7209111604	231.154527075307
"339"	30249.5386611869	196.25215625164
"343"	81944.0696293428	323.008405321922
"345"	3986.4120054214	71.243648186414
"34553"	866466.79754044	1050.34270161149
"346"	35650.5408475744	213.053229025819
"3468"	576037.493153761	856.407447149707
"3473"	14426.9284939019	135.5320473818
"3482"	116854.603839024	385.725164582514
"3484"	49260.7891183819	250.441180140933
"3492"	309637.307337116	627.887302170486
"3493"	75043.7025927472	309.109381488868
"3501"	412722.894325628	724.910415205176
"352"	14980.8094023224	138.109228305632
"354"	1590035.10587189	1422.84769891695
"3558"	4413.51894034156	74.9631032327271
"3561"	24400.7073004951	176.261015129547
"3563"	686967.042740744	935.239864819334
"3568"	1101427.65103113	1184.22178706423
"3611"	327040078.297541	20405.8903359229
"3774"	2510299.72288345	1787.79553537672
"3781"	11355.3376780921	120.241693998247
"381"	177078.591714575	474.829933236111
"3830"	61703.4406723308	280.291385365715
"3840"	291365.466635659	609.079661531014
"3861"	298206837.744168	19485.6033605915
"3866"	53801.0182267859	261.728072535907
"3874"	340058.414112961	658.008981981666
"3882"	18905.7388500758	155.150038112636
"3883"	45129.1836685092	239.708700860778
"3889"	16072258.3806107	4523.69704372372
"3890"	15328.3266065057	139.701938390343
"3892"	80584.0222663837	320.316661794822
"3926"	18803.8738409726	154.731495722549
"3932"	158581.090490852	449.345875089756
"39364"	28704.6695577776	191.175104026434
"3938"	90698.8727343631	339.825530865903
"3940"	11403.9667926437	120.498885834021
"3945"	25479179.2191703	5695.70878374606
"3946"	9676.3741541004	110.997036999435
"3969"	2333086.94364162	1723.53664247379
"39749"	4866083.47780494	2489.11428261614
"3977"	39571.641048063	224.46420256348
"3988"	2370700.87262367	1737.37448460676
"4010"	1606164.76559061	1430.04632614131
"40111"	291365.466635659	609.079661531014
"4012"	12282.8120309933	125.055835523215
"4020"	67100075.9591188	9243.07687763568
"4021"	5496.50177459351	83.6562216282773
"4030"	103247065.884499	11465.5242863997
"4031"	4111428.59488341	2287.97584610513
"40317"	24670.9272974077	177.234308869208
"4042"	165034.39586232	458.397555679983
"40450"	40814.8292160987	227.962835939433
"40454"	22628041.5058246	5367.58020574676
"40486"	21854459.3980255	5275.03193681091
"40569"	5048.54820424425	80.1748789655804
"4059"	120394.517603703	391.524023250615
"4062"	92083.6078768693	342.409828963358
"40627"	29775.4465475061	194.708181662797
"40642"	4245.23161768505	73.5200433364714
"40791"	24219.1009510881	175.603864048769
"40793"	15290.9934449375	139.531707982023
"40795"	14430.6950254173	135.549738341224
"40797"	10641.0644346133	116.398556847688
"40799"	88608.5167804058	335.886688579857
"40803"	11839.2586845877	122.777083926791
"4081"	504179.187600707	801.212131264666
"4082"	3041.81017531791	62.2330539407521
"4084"	30527.5638428417	197.151975615598
"40844"	19445.4769823064	157.349134920119
"4085"	287698.986587342	605.235265581274
"40875"	63521.8943419985	284.39160999003
"40914"	70819.1072484754	300.282679939419
"4092"	26634.3934660211	184.152010608013
"40940"	186714.653210628	487.578178397356
"40955"	196514.668670684	500.210203086706
"4096"	6178.41434983208	88.6938637898101
"40963"	282507.720682868	599.749949284219
"4097"	52311370.6502398	8161.18286470679
"40990"	65933338.9138036	9162.36511068406
"40992"	118368.154855643	388.2151666274
"40997"	32101204308.0417	202169.53964092
"40999"	10739.8908227741	116.937819809052
"41018"	46002.7793390215	242.01768080487
"4102"	2777896217.18323	59472.0717218419
"41025"	14671.9318620766	136.678029852847
"41027"	155962.656089472	445.620714548871
"41098"	18467595.3150905	4849.08987866168
"41140"	25723.2236706599	180.974654566743
"41146"	19050.9122708379	155.744582141759
"41161"	37342.8636872219	218.051394767898
"41163"	40073.3311393759	225.882602021316
"41171"	42035.9398600644	231.347835369046
"41183"	382108.425826616	697.506672469125
"41191"	225807394.060482	16956.028532985
"41247"	1092863.78258999	1179.60899666051
"41264"	23875786.826469	5513.58285955033
"41269"	712783.382965733	952.651032656806
"41273"	64398.6067457826	286.347433609207
"4133"	26492.1547676877	183.659628322242
"41351"	43222.9102825368	234.591386479269
"4139"	3203334.46512191	2019.5574059695
"41397"	7530589.99681201	3096.48913757631
"41399"	2153.04230047755	52.3577940564305
"4142"	28064491.8320347	5977.69360233891
"41426"	36337.6293279956	215.096505369874
"41448"	82438.0880986515	323.980607073269
"41453"	1182314.32619837	1226.93494302782
"41467"	64024.7945567036	285.51514893809
"41485"	5909.21689875761	86.740121246834
"41489"	3046.49896291695	62.2809999324074
"41497"	523158.194664603	816.152989089195
"41502"	4397.54623745981	74.8273330363655
"41537"	11049159.299974	3750.76346319056
"4156"	41440.8133627213	229.704336788416
"41580"	47507.7432433314	245.944581925551
"41587"	608385.801111107	880.125479934562
"41602"	7265485.2822051	3041.49686388049
"41604"	137578.860000347	418.534162371513
"41606"	19022.0629196539	155.626613185997
"4161"	51193910.9114868	8073.54394439975
"41612"	23368.0206604834	172.490834501766
"41614"	16353.677498338	144.298818057285
"41619"	58908.5985810707	273.869964104041
"4162"	1900654.34673361	1555.63115009118
"41631"	959.545489200614	34.9532725481101
"41634"	22076.4525806395	167.656232908714
"4167"	194479.907968166	497.613815605559
"4168"	8220029.87519803	3235.13015132414
"41750"	192068.959536236	494.519761584583
"41762"	899976.92783532	1070.46074840192
"41764"	438173.997636458	746.927346711466
"41766"	161481.489637188	453.43645458742
"4184"	21334.1219800248	164.813372507122
"4186"	2269.33115557756	53.7531596037005
"41864"	2699.14923314538	58.6230632156175
"41909"	4968.72984398664	79.5385650138947
"41911"	513266.887474295	808.400703942918
"4192"	2843990.16269961	1902.91375001258
"4200"	323821.300044637	642.107533552117
